"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
12405,"宅地(土地)","住宅地","36468","徳島県","美馬郡つるぎ町","貞光","貞光","30分?60分",4100000,"75000","","180",23000,"ほぼ正方形","11.0","","","","","","北","町道",8.0,"市街化区域及び市街化調整区域外の都市計画区域",70,200,"平成22年第１四半期","",""
12406,"宅地(土地)","住宅地","36468","徳島県","美馬郡つるぎ町","貞光","貞光","24",7000000,"73000","","320",22000,"ほぼ台形","28.0","","","","","","北","町道",8.7,"市街化区域及び市街化調整区域外の都市計画区域",70,200,"平成22年第１四半期","",""
12407,"農地","","36468","徳島県","美馬郡つるぎ町","貞光","","",1800000,"","","580",,"","","","","","","","","",,"",,,"平成22年第３四半期","",""
12408,"宅地(土地と建物)","住宅地","36468","徳島県","美馬郡つるぎ町","半田","阿波半田","3",3000000,"","","130",,"ほぼ台形","10.0","70","平成4年","木造","住宅","","西","町道",4.0,"都市計画区域外",,,"平成22年第３四半期","",""
12409,"宅地(土地と建物)","住宅地","36468","徳島県","美馬郡つるぎ町","半田","阿波半田","24",4000000,"","","250",,"ほぼ長方形","10.0","","","ＳＲＣ","住宅、店舗","","南東","県道",4.0,"都市計画区域外",,,"平成22年第２四半期","",""
12410,"農地","","36203","徳島県","小松島市","立江町","","",3500000,"","","1500",,"","","","","","","","","",,"",,,"平成23年第４四半期","",""
12411,"農地","","36203","徳島県","小松島市","立江町","","",2300000,"","","520",,"","","","","","","","","",,"",,,"平成23年第１四半期","",""
12412,"農地","","36203","徳島県","小松島市","立江町","","",3500000,"","","870",,"","","","","","","","","",,"",,,"平成23年第１四半期","",""
12413,"宅地(土地)","住宅地","36203","徳島県","小松島市","田野町","阿波赤石","14",9500000,"30000","","1000",9100,"ほぼ台形","24.0","","","","","","北西","市道",3.0,"市街化調整区域",70,200,"平成23年第３四半期","",""
12414,"宅地(土地)","住宅地","36203","徳島県","小松島市","田野町","阿波赤石","30分?60分",4000000,"49000","","270",15000,"不整形","17.0","","","","","","北東","私道",6.0,"市街化調整区域",70,200,"平成23年第１四半期","",""
12415,"宅地(土地)","住宅地","36203","徳島県","小松島市","田野町","南小松島","30分?60分",5000000,"21000","","800",6300,"ほぼ長方形","","","","","","","西","私道",4.0,"市街化調整区域",70,200,"平成23年第４四半期","",""
12416,"宅地(土地と建物)","工業地","36203","徳島県","小松島市","田野町","南小松島","29",100000000,"","","2000㎡以上",,"ほぼ長方形","50.0m以上","2000㎡以上","昭和56年","鉄骨造","倉庫","","南","市道",4.0,"市街化調整区域",70,200,"平成23年第４四半期","",""
12417,"農地","","36468","徳島県","美馬郡つるぎ町","半田","","",120000,"","","290",,"","","","","","","","","",,"",,,"平成22年第３四半期","",""
12418,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","足代","阿波加茂","30分?60分",1500000,"75000","","65",23000,"長方形","5.0","","","","","","北","町道",5.2,"都市計画区域外",,,"平成22年第４四半期","",""
12419,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","足代","阿波加茂","30分?60分",9000000,"79000","","380",24000,"ほぼ整形","15.0","","","","","","南","町道",5.2,"都市計画区域外",,,"平成22年第３四半期","",""
12420,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","足代","阿波加茂","30分?60分",3600000,"36000","","330",11000,"ほぼ正方形","13.0","","","","","","東","私道",3.0,"都市計画区域外",,,"平成22年第３四半期","",""
12421,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","足代","阿波加茂","30分?60分",1500000,"39000","","130",12000,"長方形","13.0","","","","","","西","私道",3.0,"都市計画区域外",,,"平成22年第３四半期","",""
12422,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","足代","阿波加茂","30分?60分",4400000,"59000","","250",18000,"ほぼ台形","7.5","","","","","","西","町道",3.4,"都市計画区域外",,,"平成22年第２四半期","",""
12423,"農地","","36489","徳島県","三好郡東みよし町","足代","","",1800000,"","","530",,"","","","","","","","","",,"",,,"平成22年第３四半期","",""
12424,"宅地(土地)","住宅地","36203","徳島県","小松島市","中田町","中田(徳島)","18",9600000,"140000","","230",42000,"ほぼ正方形","15.0","","","","","","北東","市道",4.5,"第１種中高層住居専用地域",60,200,"平成23年第３四半期","",""
12425,"宅地(土地)","住宅地","36203","徳島県","小松島市","中田町","中田(徳島)","16",9300000,"150000","","210",46000,"ほぼ整形","16.0","","","","","","北東","市道",4.5,"第１種中高層住居専用地域",60,200,"平成23年第３四半期","",""
12426,"宅地(土地)","住宅地","36203","徳島県","小松島市","中田町","中田(徳島)","13",16000000,"140000","","400",41000,"ほぼ整形","13.0","","","","","","東","市道",3.0,"第１種住居地域",60,200,"平成23年第１四半期","",""
12427,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","中田町","中田(徳島)","16",13000000,"","","270",,"長方形","20.0","100","昭和57年","木造","住宅","","東","私道",4.0,"第１種低層住居専用地域",50,80,"平成23年第１四半期","",""
12428,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","加茂","阿波加茂","13",1800000,"40000","","150",12000,"ほぼ長方形","10.5","","","","","","西","町道",3.4,"都市計画区域外",,,"平成22年第４四半期","",""
12429,"林地","","36203","徳島県","小松島市","中田町","","",51000,"","","510",,"","","","","","","","","",,"",,,"平成23年第１四半期","",""
12430,"宅地(土地)","宅地見込地","36489","徳島県","三好郡東みよし町","加茂","阿波加茂","12",5100000,"83000","","200",25000,"ほぼ長方形","8.0","","","","","","西","町道",3.0,"都市計画区域外",,,"平成22年第４四半期","",""
12431,"宅地(土地)","宅地見込地","36489","徳島県","三好郡東みよし町","加茂","阿波加茂","10",4700000,"83000","","190",25000,"ほぼ長方形","","","","","","","東","町道",3.3,"都市計画区域外",,,"平成22年第４四半期","",""
12432,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","加茂","阿波加茂","11",11000000,"150000","","230",45000,"ほぼ長方形","13.0","","","","","","南","私道",4.0,"都市計画区域外",,,"平成22年第３四半期","",""
